Name,vegetables,unknown,dairy,human,animal,insect,freeliving
L_crispatus_MHKL_MAG_00029,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00030,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00033,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00034,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00035,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00036,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00043,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00044,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00050,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00053,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00057,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00065,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00066,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00070,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00073,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00075,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00076,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00083,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00087,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00091,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00095,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00097,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00107,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00115,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00118,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00119,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00120,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00121,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00122,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00125,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00141,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00143,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00146,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00148,0,0,0,1,0,0,0
