"Gene","L_acetotolerans_BM-LA14527","L_acetotolerans_CN247","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"L_delbrueckii_ME-802_01286","1020_g_675","1020_g_3030","105","757","0","144","100.0","15.98224195338513","inf","6.424218118857145e-08","0.001606375740620229","1.271873112130031e-06"
"L_iners_MHKL_MAG_00086_01107","","","13","338","92","563","12.380952380952381","62.48612652608213","0.23536789297658864","6.441522201385722e-08","0.0016107026264564996","1.2742900525763447e-06"
"L_crispatus_Mitchell_12_29_17_G06_S623-bin_1_00999","1020_g_838","1020_g_3002","105","756","0","145","100.0","16.09322974472808","inf","6.705257373807314e-08","0.0016766496063205189","1.3233224990690756e-06"
"L_terrae_NIBRBAC000499792_01499","1020_g_553","1020_g_2695","105","756","0","145","100.0","16.09322974472808","inf","6.705257373807314e-08","0.0016766496063205189","1.3233224990690756e-06"
"uncultured_L_sp_Chicken_10_mag_2_00252","1020_g_1360","1020_g_2596","105","756","0","145","100.0","16.09322974472808","inf","6.705257373807314e-08","0.0016766496063205189","1.3233224990690756e-06"
"L_crispatus_Mitchell_12_29_17_C05_S611-bin_1_00552","","","3","204","102","697","2.857142857142857","77.35849056603774","0.10049019607843138","6.735241362394302e-08","0.0016841471026666952","1.3281917213459742e-06"
"L_rodentium_DSM_24759_01065","","","72","367","33","534","68.57142857142857","59.26748057713651","3.1746346296755017","6.834517108418449e-08","0.0017089710029600331","1.3467068581245336e-06"
"L_taiwanensis_114e_01021","1020_g_341","1020_g_2493","84","476","21","425","80.0","47.16981132075472","3.5714285714285716","6.847254845132862e-08","0.0017121560740254722","1.3469819972264962e-06"
"L_bombicola_BI-4G_01525","","","3","202","102","699","2.857142857142857","77.58046614872363","0.10177635410599883","6.852073987090995e-08","0.0017133611004721031","1.3469819972264962e-06"
"L_bombicola_R-53102_01602","","","3","202","102","699","2.857142857142857","77.58046614872363","0.10177635410599883","6.852073987090995e-08","0.0017133611004721031","1.3469819972264962e-06"
"uncultured_L_sp_Chicken_14_mag_2_00835","","","3","205","102","696","2.857142857142857","77.2475027746948","0.09985652797704447","6.881616672373816e-08","0.0017207482489270728","1.3517268255515105e-06"
"L_helveticus_CAUH18_01574","1020_g_1275","1020_g_2010","97","625","8","276","92.38095238095238","30.632630410654826","5.3544","7.034091219629883e-08","0.0017588745094684523","1.3805922366314382e-06"
